Year,Region,Deaths,Population,%Death_Rate,%Rep_Leg,%Dem_Leg,%Mix_Leg,%Rep_Gov,%Dem_Gov,%Rep_State,%Dem_State,%Mix_State
2024,9,0.0,51727260.0,0.0,25.0,75.0,0.0,25.0,75.0,25.0,75.0,0.0
2024,10,0.0,14972303.0,0.0,25.0,75.0,0.0,50.0,50.0,25.0,50.0,25.0
2025,1,0.0,15122011.0,0.0,50.0,50.0,0.0,33.33333333333333,66.66666666666666,33.33333333333333,50.0,16.666666666666664
2025,2,0.0,29492786.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0
2025,3,0.0,31289162.0,0.0,40.0,60.0,0.0,60.0,40.0,20.0,20.0,60.0
2025,4,0.0,67216994.0,0.0,62.5,37.5,0.0,50.0,50.0,50.0,37.5,12.5
2025,5,0.0,53088054.0,0.0,83.33333333333334,16.666666666666664,0.0,100.0,0.0,83.33333333333334,0.0,16.666666666666664
2025,6,0.0,42895845.0,0.0,40.0,60.0,0.0,20.0,80.0,20.0,60.0,20.0
2025,7,0.0,14245141.0,0.0,75.0,25.0,0.0,50.0,50.0,50.0,25.0,25.0
2025,8,0.0,12373767.0,0.0,33.33333333333333,66.66666666666666,0.0,50.0,50.0,33.33333333333333,50.0,16.666666666666664
2025,9,0.0,51274631.0,0.0,25.0,75.0,0.0,25.0,75.0,25.0,75.0,0.0
2025,10,0.0,14517345.0,0.0,25.0,75.0,0.0,50.0,50.0,25.0,50.0,25.0
